,Timestamp,Year of joining the Firm ( Eg: 2016) ,Industry Domain,Type ,Firm CTC,Duration of Employment?,Satisfaction in your Company ,Ability to Grow in the industry ,Choice
251,2020/01/17 5:05:02 PM GMT+5:30,2018,,0,2,< 1 Year,Not Satisfied,Low Growth,Work
252,2020/01/17 5:33:24 PM GMT+5:30,2019,,0,1,< 1 Year,Very Satisfied,High Growth,Work
253,2020/01/17 5:49:48 PM GMT+5:30,2019,,0,3,< 1 Year,Satisfied,Mid Growth,Work
254,2020/01/17 5:49:49 PM GMT+5:30,2018,,0,2,2 Years,Very Satisfied,High Growth,Work
255,2020/01/17 5:54:50 PM GMT+5:30,2016,,1,3,< 1 Year,Very Satisfied,High Growth,Work
256,2020/01/17 6:13:46 PM GMT+5:30,2018,,0,3,1 Year,Very Satisfied,High Growth,Work
257,2020/01/17 6:14:23 PM GMT+5:30,2018,,0,2,1 Year,Satisfied,Mid Growth,Work
258,2020/01/17 6:15:06 PM GMT+5:30,2017,,0,2,2 Years,Very Satisfied,Mid Growth,Higher Studies
259,2020/01/17 6:34:58 PM GMT+5:30,2019,,0,3,1 Year,Very Satisfied,High Growth,Work
260,2020/01/17 6:39:31 PM GMT+5:30,2018,Automobile,0,3,1 Year,Satisfied,High Growth,Higher Studies
261,2020/01/17 6:48:12 PM GMT+5:30,2016,Computer Science,1,3,< 1 Year,Satisfied,Mid Growth,Higher Studies
262,2020/01/17 7:23:45 PM GMT+5:30,2014,Automotive,1,2,1 Year,Not Satisfied,High Growth,Work
263,2020/01/17 7:42:59 PM GMT+5:30,2018,Service,0,2,1 Year,Very Satisfied,High Growth,Higher Studies
264,2020/01/17 7:45:46 PM GMT+5:30,2018,Software Testing,0,2,< 1 Year,Not Satisfied,Low Growth,Higher Studies
265,2020/01/17 7:56:24 PM GMT+5:30,2016,Operation analyst,0,3,1 Year,Very Satisfied,High Growth,Higher Studies
266,2020/01/17 7:58:45 PM GMT+5:30,2018,Software,1,3,< 1 Year,Satisfied,Mid Growth,Higher Studies
267,2020/01/17 8:16:16 PM GMT+5:30,2018,Tech services,0,3,1 Year,Not Satisfied,Low Growth,Higher Studies
268,2020/01/17 8:16:54 PM GMT+5:30,2018,Tech Services,0,2,< 1 Year,Not Satisfied,Low Growth,Higher Studies
269,2020/01/17 10:10:34 PM GMT+5:30,2017,Automotive Industry,0,2,2 Years,Very Satisfied,Mid Growth,Higher Studies
270,2020/01/18 10:57:35 PM GMT+5:30,2019,It services,0,1,< 1 Year,Not Satisfied,Low Growth,Work
271,2020/01/18 10:59:50 PM GMT+5:30,2019,Information Technology,0,1,< 1 Year,Very Satisfied,High Growth,Work
272,2020/01/18 11:02:11 PM GMT+5:30,2019,Telecom/R&D,0,2,< 1 Year,Very Satisfied,High Growth,Work
273,2020/01/18 11:07:12 PM GMT+5:30,2015,Machine Learning,0,1,< 1 Year,Very Satisfied,High Growth,Work
274,2020/01/18 11:10:04 PM GMT+5:30,2019,Data Backup and Engineering Solutions,1,2,< 1 Year,Very Satisfied,High Growth,Work
275,2020/01/18 11:35:14 PM GMT+5:30,2019,Software,0,1,< 1 Year,Very Satisfied,High Growth,Work
276,2020/01/19 12:52:38 AM GMT+5:30,2019,Software,1,2,< 1 Year,Very Satisfied,High Growth,Work
277,2020/01/19 12:58:09 AM GMT+5:30,2015,"UI, BIGDATA",1,2,2 Years,Very Satisfied,High Growth,Work
278,2020/01/19 4:11:21 AM GMT+5:30,2019,Consulting ,1,1,< 1 Year,Very Satisfied,High Growth,Work
279,2020/01/19 7:55:41 AM GMT+5:30,2005,Banking,0,3,3 Years,Satisfied,High Growth,Higher Studies
280,2020/01/19 9:24:08 AM GMT+5:30,2019,Technology consulting,1,1,< 1 Year,Very Satisfied,High Growth,Work
281,2020/01/19 10:23:24 AM GMT+5:30,2019,IT,1,1,< 1 Year,Satisfied,High Growth,Work
282,2020/01/19 10:38:34 AM GMT+5:30,2019,Travel Tech,0,1,< 1 Year,Very Satisfied,High Growth,Work
283,2020/01/19 12:17:00 PM GMT+5:30,2019,Healthcare,0,2,< 1 Year,Very Satisfied,High Growth,Work
284,2020/01/19 1:04:11 PM GMT+5:30,2019,Web Scrapiny,1,2,< 1 Year,Satisfied,High Growth,Work
285,2020/01/19 1:08:38 PM GMT+5:30,2019,Networking,0,1,< 1 Year,Very Satisfied,High Growth,Work
286,2020/01/19 5:47:15 PM GMT+5:30,2019,Insurance Domain,0,2,2 Years,Not Satisfied,Low Growth,Higher Studies
287,2020/01/19 6:46:07 PM GMT+5:30,2019,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
288,2020/01/20 8:33:01 AM GMT+5:30,2019,IT,1,2,< 1 Year,Satisfied,Mid Growth,Higher Studies
289,2020/01/20 10:26:22 AM GMT+5:30,2016,Web development,1,3,< 1 Year,Very Satisfied,High Growth,Work
290,2020/01/20 10:29:11 AM GMT+5:30,2019,IT,1,3,< 1 Year,Satisfied,Mid Growth,Work
291,2020/01/20 5:02:22 PM GMT+5:30,2019,IT,1,2,> 3 Years,Very Satisfied,High Growth,Work
292,2020/01/20 11:06:36 PM GMT+5:30,2019,Telecom,1,1,< 1 Year,Very Satisfied,High Growth,Work
293,2020/01/22 1:13:06 AM GMT+5:30,2019,Healthcare,0,1,< 1 Year,Very Satisfied,High Growth,Work
294,2020/01/22 1:32:59 PM GMT+5:30,2019,Telecommunication,0,2,< 1 Year,Satisfied,Mid Growth,Work
295,2020/01/22 11:35:27 PM GMT+5:30,2019,Consulting,0,2,< 1 Year,Very Satisfied,High Growth,Work
296,2020/01/23 2:18:37 AM GMT+5:30,2019,Networking / Telecommunication,0,1,< 1 Year,Very Satisfied,High Growth,Work
297,2020/01/25 11:21:29 AM GMT+5:30,2019,IT,0,3,< 1 Year,Satisfied,Mid Growth,Work
298,2020/02/07 8:43:26 AM GMT+5:30,2019,IT,0,1,< 1 Year,Very Satisfied,High Growth,Work
299,2020/02/11 7:32:21 PM GMT+5:30,2019,IT,0,1,< 1 Year,Very Satisfied,High Growth,Work
300,2020/01/17 4:53:33 PM GMT+5:30,2018,,0,2,2 Years,Very Satisfied,Mid Growth,Higher Studies
301,2020/01/17 5:05:02 PM GMT+5:30,2018,,0,2,< 1 Year,Not Satisfied,Low Growth,Work
302,2020/01/17 5:33:24 PM GMT+5:30,2019,,0,1,< 1 Year,Very Satisfied,High Growth,Work
303,2020/01/17 5:49:48 PM GMT+5:30,2019,,0,3,< 1 Year,Satisfied,Mid Growth,Work
304,2020/01/17 5:49:49 PM GMT+5:30,2018,,0,2,2 Years,Very Satisfied,High Growth,Work
305,2020/01/17 5:54:50 PM GMT+5:30,2016,,1,3,< 1 Year,Very Satisfied,High Growth,Work
306,2020/01/17 6:13:46 PM GMT+5:30,2018,,0,3,1 Year,Very Satisfied,High Growth,Work
307,2020/01/17 6:14:23 PM GMT+5:30,2018,,0,2,1 Year,Satisfied,Mid Growth,Work
